"yourlist:M20201123A94466D2655679D1FD8953E075198DA817123DO","Entry","Function [CC]"
"Q9Y644","Q9Y644","FUNCTION: Glycosyltransferase that initiates the elongation of O-linked fucose residues attached to EGF-like repeats in the extracellular domain of Notch molecules. Modulates NOTCH1 activity by modifying O-fucose residues at specific EGF-like domains resulting in enhancement of NOTCH1 activation by DLL1 and JAG1. May be involved in limb formation and in neurogenesis. {ECO:0000250|UniProtKB:O09009, ECO:0000250|UniProtKB:O12972, ECO:0000250|UniProtKB:Q9R1U9}."
"P46779","P46779","FUNCTION: Component of the large ribosomal subunit. {ECO:0000305|PubMed:12962325}."
"P62241","P62241",""
"P62857","P62857",""
"P34925","P34925","FUNCTION: May be a coreceptor along with FZD8 of Wnt proteins, such as WNT1, WNT3, WNT3A and WNT5A. Involved in neuron differentiation, axon guidance, corpus callosum establishment and neurite outgrowth. In response to WNT3 stimulation, receptor C-terminal cleavage occurs in its transmembrane region and allows the C-terminal intracellular product to translocate from the cytoplasm to the nucleus where it plays a crucial role in neuronal development. {ECO:0000269|PubMed:15454084}."
"Q9HD40","Q9HD40","FUNCTION: Converts O-phosphoseryl-tRNA(Sec) to selenocysteinyl-tRNA(Sec) required for selenoprotein biosynthesis. {ECO:0000269|PubMed:17142313}."
"Q86VW0","Q86VW0","FUNCTION: May act as the primary docking protein directing membrane turnover and assembly of the transient receptor potential channels TRPC4 and TRPC5. Binds phospholipids such as phosphatidylinositol monophosphates, phosphatidylinositol diphosphates (PIP2s) and phosphatidic acid, but not less polar lipids including phosphatidylcholine, phosphatidylserine, and phosphatidylinositol. The binding to PIP2s is calcium dependent. Might be involved in the plasma membrane localization of CTNNB1. {ECO:0000269|PubMed:20164195}."
"Q9Y6X0","Q9Y6X0",""
"O43166","O43166","FUNCTION: Stimulates the GTPase activity of RAP2A. Promotes reorganization of the actin cytoskeleton and recruits DLG4 to F-actin. Contributes to the regulation of dendritic spine morphogenesis (By similarity). {ECO:0000250}."
"O95391","O95391","FUNCTION: Required for pre-mRNA splicing as component of the spliceosome (PubMed:10197984, PubMed:28502770, PubMed:30705154). Participates in the second catalytic step of pre-mRNA splicing, when the free hydroxyl group of exon I attacks the 3'-splice site to generate spliced mRNA and the excised lariat intron. Required for holding exon 1 properly in the spliceosome and for correct AG identification when more than one possible AG exists in 3'-splicing site region. May be involved in the activation of proximal AG. Probably also involved in alternative splicing regulation. {ECO:0000269|PubMed:10197984, ECO:0000269|PubMed:10647016, ECO:0000269|PubMed:12764196, ECO:0000269|PubMed:15181151, ECO:0000269|PubMed:15728250, ECO:0000269|PubMed:28502770, ECO:0000269|PubMed:30705154}."
"O94875","O94875","FUNCTION: Adapter protein that plays a role in the assembling of signaling complexes, being a link between ABL kinases and actin cytoskeleton. Can form complex with ABL1 and CBL, thus promoting ubiquitination and degradation of ABL1. May play a role in the regulation of pancreatic cell adhesion, possibly by acting on WASF1 phosphorylation, enhancing phosphorylation by ABL1, as well as dephosphorylation by PTPN12 (PubMed:18559503). Isoform 6 increases water and sodium absorption in the intestine and gall-bladder. {ECO:0000269|PubMed:12475393, ECO:0000269|PubMed:18559503, ECO:0000269|PubMed:9211900}."
"P09486","P09486","FUNCTION: Appears to regulate cell growth through interactions with the extracellular matrix and cytokines. Binds calcium and copper, several types of collagen, albumin, thrombospondin, PDGF and cell membranes. There are two calcium binding sites; an acidic domain that binds 5 to 8 Ca(2+) with a low affinity and an EF-hand loop that binds a Ca(2+) ion with a high affinity."
"Q01082","Q01082","FUNCTION: Fodrin, which seems to be involved in secretion, interacts with calmodulin in a calcium-dependent manner and is thus candidate for the calcium-dependent movement of the cytoskeleton at the membrane."
"Q9P246","Q9P246","FUNCTION: Plays a role in mediating store-operated Ca(2+) entry (SOCE), a Ca(2+) influx following depletion of intracellular Ca(2+) stores. Functions as a highly sensitive Ca(2+) sensor in the endoplasmic reticulum which activates both store-operated and store-independent Ca(2+)-influx. Regulates basal cytosolic and endoplasmic reticulum Ca(2+) concentrations. Upon mild variations of the endoplasmic reticulum Ca(2+) concentration, translocates from the endoplasmic reticulum to the plasma membrane where it probably activates the Ca(2+) release-activated Ca(2+) (CRAC) channels ORAI1, ORAI2 and ORAI3. May inhibit STIM1-mediated Ca(2+) influx. {ECO:0000269|PubMed:16005298, ECO:0000269|PubMed:16860747, ECO:0000269|PubMed:17905723, ECO:0000269|PubMed:18160041, ECO:0000269|PubMed:21217057, ECO:0000269|PubMed:22464749, ECO:0000269|PubMed:23359669}."
"P08842","P08842","FUNCTION: Catalyzes the conversion of sulfated steroid precursors, such as dehydroepiandrosterone sulfate (DHEA-S) and estrone sulfate to the free steroid. {ECO:0000269|PubMed:10844566, ECO:0000269|PubMed:23466819, ECO:0000269|PubMed:9252398}."
"P01375","P01375","FUNCTION: Cytokine that binds to TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. It is mainly secreted by macrophages and can induce cell death of certain tumor cell lines. It is potent pyrogen causing fever by direct action or by stimulation of interleukin-1 secretion and is implicated in the induction of cachexia, Under certain conditions it can stimulate cell proliferation and induce cell differentiation. Impairs regulatory T-cells (Treg) function in individuals with rheumatoid arthritis via FOXP3 dephosphorylation. Upregulates the expression of protein phosphatase 1 (PP1), which dephosphorylates the key 'Ser-418' residue of FOXP3, thereby inactivating FOXP3 and rendering Treg cells functionally defective (PubMed:23396208). Key mediator of cell death in the anticancer action of BCG-stimulated neutrophils in combination with DIABLO/SMAC mimetic in the RT4v6 bladder cancer cell line (PubMed:22517918, PubMed:16829952, PubMed:23396208). Induces insulin resistance in adipocytes via inhibition of insulin-induced IRS1 tyrosine phosphorylation and insulin-induced glucose uptake. Induces GKAP42 protein degradation in adipocytes which is partially responsible for TNF-induced insulin resistance (By similarity). Plays a role in angiogenesis by inducing VEGF production synergistically with IL1B and IL6 (PubMed:12794819). {ECO:0000250|UniProtKB:P06804, ECO:0000269|PubMed:12794819, ECO:0000269|PubMed:16829952, ECO:0000269|PubMed:22517918, ECO:0000269|PubMed:23396208}.; FUNCTION: The TNF intracellular domain (ICD) form induces IL12 production in dendritic cells. {ECO:0000269|PubMed:16829952}."
"P67936","P67936","FUNCTION: Binds to actin filaments in muscle and non-muscle cells. Plays a central role, in association with the troponin complex, in the calcium dependent regulation of vertebrate striated muscle contraction. Smooth muscle contraction is regulated by interaction with caldesmon. In non-muscle cells is implicated in stabilizing cytoskeleton actin filaments (By similarity). Binds calcium (PubMed:1836432). {ECO:0000250|UniProtKB:P09495, ECO:0000269|PubMed:1836432}."
"Q8NCE0","Q8NCE0","FUNCTION: Constitutes one of the two catalytic subunit of the tRNA-splicing endonuclease complex, a complex responsible for identification and cleavage of the splice sites in pre-tRNA. It cleaves pre-tRNA at the 5'- and 3'-splice sites to release the intron. The products are an intron and two tRNA half-molecules bearing 2',3'-cyclic phosphate and 5'-OH termini. There are no conserved sequences at the splice sites, but the intron is invariably located at the same site in the gene, placing the splice sites an invariant distance from the constant structural features of the tRNA body. Isoform 1 probably carries the active site for 5'-splice site cleavage. The tRNA splicing endonuclease is also involved in mRNA processing via its association with pre-mRNA 3'-end processing factors, establishing a link between pre-tRNA splicing and pre-mRNA 3'-end formation, suggesting that the endonuclease subunits function in multiple RNA-processing events. Isoform 2 is responsible for processing a yet unknown RNA substrate. The complex containing isoform 2 is not able to cleave pre-tRNAs properly, although it retains endonucleolytic activity. {ECO:0000269|PubMed:15109492}."
"P08670","P08670","FUNCTION: Vimentins are class-III intermediate filaments found in various non-epithelial cells, especially mesenchymal cells. Vimentin is attached to the nucleus, endoplasmic reticulum, and mitochondria, either laterally or terminally. {ECO:0000269|PubMed:21746880}.; FUNCTION: Involved with LARP6 in the stabilization of type I collagen mRNAs for CO1A1 and CO1A2. {ECO:0000269|PubMed:21746880}."
"Q5THJ4","Q5THJ4","FUNCTION: Functions in promoting mitochondrial clearance by mitochondrial autophagy (mitophagy), also possibly by positively regulating mitochondrial fission (PubMed:29307555, PubMed:29604224). Mitophagy plays an important role in regulating cell health and mitochondrial size and homeostasis. {ECO:0000269|PubMed:29307555, ECO:0000269|PubMed:29604224}."
"Q9UIJ5","Q9UIJ5","FUNCTION: Palmitoyltransferase that catalyzes the addition of palmitate onto various protein substrates and is involved in a variety of cellular processes (PubMed:18508921, PubMed:18296695, PubMed:19144824, PubMed:21343290, PubMed:22034844, PubMed:23793055). Has no stringent fatty acid selectivity and in addition to palmitate can also transfer onto target proteins myristate from tetradecanoyl-CoA and stearate from octadecanoyl-CoA (By similarity). In the nervous system, plays a role in long term synaptic potentiation by palmitoylating AKAP5 through which it regulates protein trafficking from the dendritic recycling endosomes to the plasma membrane and controls both structural and functional plasticity at excitatory synapses (By similarity). In dendrites, mediates the palmitoylation of DLG4 when synaptic activity decreases and induces synaptic clustering of DLG4 and associated AMPA-type glutamate receptors (By similarity). Also mediates the de novo and turnover palmitoylation of RGS7BP, a shuttle for Gi/o-specific GTPase-activating proteins/GAPs, promoting its localization to the plasma membrane in response to the activation of G protein-coupled receptors. Through the localization of these GTPase-activating proteins/GAPs, it also probably plays a role in G protein-coupled receptors signaling in neurons (By similarity). Also probably plays a role in cell adhesion by palmitoylating CD9 and CD151 to regulate their expression and function (PubMed:18508921). Palmitoylates the endoplasmic reticulum protein CKAP4 and regulates its localization to the plasma membrane (PubMed:18296695, PubMed:19144824). Could also palmitoylate LCK and regulate its localization to the plasma membrane (PubMed:22034844). {ECO:0000250|UniProtKB:P59267, ECO:0000250|UniProtKB:Q9JKR5, ECO:0000269|PubMed:18296695, ECO:0000269|PubMed:18508921, ECO:0000269|PubMed:19144824, ECO:0000269|PubMed:21343290, ECO:0000269|PubMed:22034844, ECO:0000269|PubMed:23793055}.; FUNCTION: (Microbial infection) Promotes Chikungunya virus (CHIKV) replication by mediating viral nsp1 palmitoylation. {ECO:0000269|PubMed:30404808}."
"Q9H900","Q9H900","FUNCTION: Essential component of the mitotic checkpoint, which prevents cells from prematurely exiting mitosis. Required for the assembly of the dynein-dynactin and MAD1-MAD2 complexes onto kinetochores. Its function related to the spindle assembly machinery is proposed to depend on its association in the mitotic RZZ complex (PubMed:15824131). {ECO:0000269|PubMed:15824131}."
